Iterations & N_points & Mean_surface & Std_surface & Confidence_radius
100 & 100 & 1.5549008574378496 & 0.03473241743994339 & 0.006807553818228904
100 & 961 & 1.5457355829159654 & 0.00629975209437171 & 0.0012347514104968551
100 & 10000 & 1.5472735078550748 & 0.0011040386842381292 & 0.00021639158211067333
100 & 99856 & 1.5462352383783797 & 0.00020009161777514496 & 3.921795708392841e-05
500 & 100 & 1.5086084252550258 & 0.0370748508215979 & 0.007266670761033188
500 & 961 & 1.5106053797241779 & 0.00691077411953542 & 0.0013545117274289423
500 & 10000 & 1.515484998551816 & 0.0011394933351131747 & 0.0002233406936821822
500 & 99856 & 1.5137399553821895 & 0.00019680006187792508 & 3.857281212807331e-05
1000 & 100 & 1.5381837481103515 & 0.03738604760346783 & 0.007327665330279695
1000 & 961 & 1.5089111760897913 & 0.006700512641132372 & 0.0013133004776619448
1000 & 10000 & 1.5102159365731422 & 0.0010755849703068144 & 0.0002108146541801356
1000 & 99856 & 1.5103414988603336 & 0.0002052012182732792 & 4.021943878156272e-05
2500 & 100 & 1.5064227781635757 & 0.034870307034051605 & 0.006834580178674114
2500 & 961 & 1.5119429074071862 & 0.00678887278436831 & 0.0013306190657361887
2500 & 10000 & 1.5065315514818685 & 0.001152634609730143 & 0.000225916383507108
2500 & 99856 & 1.5091549980119368 & 0.0001956844720641105 & 3.8354156524565653e-05
