Iterations & N_points & Mean_surface & Std_surface & Confidence_radius
100 & 100 & 1.5801919999999998 & 0.1325400887882606 & 0.025977857402499076
100 & 961 & 1.549640374609781 & 0.039934646914607394 & 0.00782719079526305
100 & 10000 & 1.5480638400000002 & 0.011860617804077492 & 0.0023246810895991886
100 & 99856 & 1.5473558404101908 & 0.0037735099428402945 & 0.0007396079487966978
500 & 100 & 1.5191720000000002 & 0.13812205912163342 & 0.027071923587840146
500 & 961 & 1.5127654526534855 & 0.039282290579775475 & 0.007699328953635993
500 & 10000 & 1.5143220399999995 & 0.011477392588841773 & 0.002249568947412988
500 & 99856 & 1.5143769868610801 & 0.004106907006818422 & 0.0008049537733364106
1000 & 100 & 1.521884 & 0.13932382188269168 & 0.02730746908900757
1000 & 961 & 1.5102726326742972 & 0.043038347989106836 & 0.00843551620586494
1000 & 10000 & 1.5113795199999998 & 0.013315542560842211 & 0.002609846341925073
1000 & 99856 & 1.5105534369492064 & 0.003932864485992257 & 0.0007708414392544824
2500 & 100 & 1.5078719999999999 & 0.12304366548506267 & 0.024116558435072284
2500 & 961 & 1.5055221644120709 & 0.041588011695395305 & 0.00815125029229748
2500 & 10000 & 1.5085274000000002 & 0.014022403073653251 & 0.0027483910024360373
2500 & 99856 & 1.5079669844576187 & 0.0037686509532053342 & 0.0007386555868282455
