Iterations & N_points & Mean_surface & Std_surface & Confidence_radius
100 & 100 & 1.5530719999999996 & 0.1015783895127305 & 0.019909364344495178
100 & 961 & 1.5453132154006244 & 0.02158845429038501 & 0.004231337040915462
100 & 10000 & 1.5470649199999997 & 0.0040951773726665445 & 0.0008026547650426426
500 & 100 & 1.5151040000000002 & 0.08634974686702908 & 0.0169245503859377
500 & 961 & 1.5127184183142561 & 0.02202874756260401 & 0.004317634522270386
500 & 10000 & 1.5137932 & 0.004281134410410414 & 0.000839102344440441
1000 & 100 & 1.5151039999999998 & 0.0802169482341481 & 0.015722521853893025
1000 & 961 & 1.507544640998959 & 0.020366249068218018 & 0.003991784817370731
1000 & 10000 & 1.5106563199999996 & 0.0038399894033187207 & 0.0007526379230504692
2500 & 100 & 1.5132959999999998 & 0.09229658489890077 & 0.01809013064018455
2500 & 961 & 1.5069331945889695 & 0.017521727587809545 & 0.003434258607210671
2500 & 10000 & 1.5081567599999999 & 0.0038759652297718217 & 0.0007596891850352771
